# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 2.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.05          	-5.036080e+00	9.901470e-01	-4.580097e-02	-5.058981e+00	5.013180e+00
0.1           	-3.900024e+00	7.745579e-01	-1.602703e-02	-3.908038e+00	3.892011e+00
0.15          	-3.383950e+00	6.743051e-01	-9.136626e-03	-3.388518e+00	3.379381e+00
0.2           	-3.075396e+00	6.145258e-01	-3.966540e-03	-3.077380e+00	3.073413e+00
0.25          	-2.869783e+00	5.740677e-01	-1.607989e-03	-2.870587e+00	2.868979e+00
0.3           	-2.745565e+00	5.493739e-01	-6.401376e-04	-2.745885e+00	2.745245e+00
0.35          	-2.653794e+00	5.310652e-01	2.070746e-05	-2.653783e+00	2.653804e+00
0.4           	-2.596170e+00	5.190116e-01	-1.109702e-03	-2.596725e+00	2.595615e+00
0.45          	-2.553585e+00	5.104729e-01	-9.487021e-04	-2.554059e+00	2.553110e+00
0.5           	-2.526908e+00	5.049785e-01	-1.155725e-03	-2.527486e+00	2.526331e+00
0.55          	-2.510816e+00	5.017724e-01	-9.312434e-04	-2.511282e+00	2.510350e+00
0.6           	-2.515029e+00	5.021164e-01	-2.078549e-03	-2.516068e+00	2.513990e+00
0.65          	-2.516849e+00	5.022999e-01	-2.375716e-03	-2.518037e+00	2.515661e+00
0.7           	-2.519494e+00	5.025631e-01	-2.862669e-03	-2.520926e+00	2.518063e+00
0.75          	-2.533968e+00	5.050004e-01	-3.821184e-03	-2.535879e+00	2.532058e+00
0.8           	-2.540109e+00	5.058048e-01	-4.728582e-03	-2.542473e+00	2.537744e+00
0.85          	-2.554616e+00	5.085684e-01	-4.915466e-03	-2.557073e+00	2.552158e+00
0.9           	-2.568348e+00	5.114846e-01	-4.365089e-03	-2.570531e+00	2.566166e+00
0.95          	-2.583141e+00	5.145351e-01	-3.938785e-03	-2.585110e+00	2.581171e+00
1             	-2.597478e+00	5.172773e-01	-4.180188e-03	-2.599569e+00	2.595388e+00
1.05          	-2.609329e+00	5.200925e-01	-3.065187e-03	-2.610861e+00	2.607796e+00
1.1           	-2.623714e+00	5.230548e-01	-2.785391e-03	-2.625106e+00	2.622321e+00
1.15          	-2.638149e+00	5.261790e-01	-2.183832e-03	-2.639241e+00	2.637057e+00
1.2           	-2.644670e+00	5.278055e-01	-1.306274e-03	-2.645323e+00	2.644016e+00
1.25          	-2.655340e+00	5.301648e-01	-7.291698e-04	-2.655705e+00	2.654976e+00
1.3           	-2.668997e+00	5.328852e-01	-7.058741e-04	-2.669350e+00	2.668644e+00
1.35          	-2.676363e+00	5.346047e-01	-1.391342e-04	-2.676433e+00	2.676294e+00
1.4           	-2.683726e+00	5.366315e-01	1.226525e-03	-2.683113e+00	2.684339e+00
1.45          	-2.686802e+00	5.378172e-01	2.623546e-03	-2.685490e+00	2.688114e+00
1.5           	-2.692350e+00	5.391030e-01	3.063293e-03	-2.690819e+00	2.693882e+00
1.55          	-2.699609e+00	5.410294e-01	4.199087e-03	-2.697509e+00	2.701708e+00
1.6           	-2.702425e+00	5.419783e-01	5.144104e-03	-2.699853e+00	2.704997e+00
1.65          	-2.703938e+00	5.424460e-01	5.523770e-03	-2.701176e+00	2.706700e+00
1.7           	-2.701196e+00	5.422033e-01	6.239536e-03	-2.698076e+00	2.704315e+00
1.75          	-2.700770e+00	5.424633e-01	7.100817e-03	-2.697220e+00	2.704320e+00
1.8           	-2.697762e+00	5.423861e-01	8.359744e-03	-2.693582e+00	2.701942e+00
1.85          	-2.692996e+00	5.418116e-01	9.269809e-03	-2.688361e+00	2.697631e+00
1.9           	-2.687060e+00	5.409789e-01	1.011846e-02	-2.682001e+00	2.692119e+00
1.95          	-2.682749e+00	5.404755e-01	1.095499e-02	-2.677272e+00	2.688227e+00
2             	-2.673766e+00	5.387920e-01	1.121283e-02	-2.668160e+00	2.679372e+00
2.05          	-2.665833e+00	5.374255e-01	1.173753e-02	-2.659964e+00	2.671701e+00
2.1           	-2.657016e+00	5.360141e-01	1.257454e-02	-2.650729e+00	2.663304e+00
2.15          	-2.647798e+00	5.343953e-01	1.310493e-02	-2.641245e+00	2.654350e+00
2.2           	-2.638127e+00	5.327109e-01	1.369899e-02	-2.631278e+00	2.644977e+00
2.25          	-2.628483e+00	5.310270e-01	1.427283e-02	-2.621347e+00	2.635620e+00
2.3           	-2.618290e+00	5.293668e-01	1.519185e-02	-2.610694e+00	2.625886e+00
2.35          	-2.608859e+00	5.276752e-01	1.564737e-02	-2.601036e+00	2.616683e+00
2.4           	-2.599035e+00	5.258938e-01	1.607334e-02	-2.590999e+00	2.607072e+00
2.45          	-2.590202e+00	5.243359e-01	1.656428e-02	-2.581919e+00	2.598484e+00
2.5           	-2.581336e+00	5.227078e-01	1.689698e-02	-2.572887e+00	2.589784e+00
2.55          	-2.572313e+00	5.210951e-01	1.735472e-02	-2.563636e+00	2.580991e+00
2.6           	-2.563858e+00	5.195639e-01	1.772623e-02	-2.554995e+00	2.572721e+00
2.65          	-2.555711e+00	5.180893e-01	1.808991e-02	-2.546666e+00	2.564756e+00
2.7           	-2.547788e+00	5.166411e-01	1.840279e-02	-2.538587e+00	2.556990e+00
