# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 2.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
40            	-5.695450e-02	1.133431e-02	-1.435628e-04	-5.702628e-02	5.688271e-02
40.05         	-5.695399e-02	1.133419e-02	-1.436130e-04	-5.702579e-02	5.688218e-02
40.1          	-5.695312e-02	1.133401e-02	-1.436095e-04	-5.702493e-02	5.688132e-02
40.15         	-5.695243e-02	1.133387e-02	-1.436153e-04	-5.702424e-02	5.688062e-02
40.2          	-5.695175e-02	1.133373e-02	-1.436315e-04	-5.702357e-02	5.687993e-02
40.25         	-5.695093e-02	1.133356e-02	-1.436460e-04	-5.702276e-02	5.687911e-02
40.3          	-5.695024e-02	1.133342e-02	-1.436581e-04	-5.702207e-02	5.687841e-02
40.35         	-5.694956e-02	1.133327e-02	-1.436716e-04	-5.702139e-02	5.687772e-02
40.4          	-5.694877e-02	1.133311e-02	-1.436828e-04	-5.702061e-02	5.687693e-02
40.45         	-5.694807e-02	1.133296e-02	-1.437028e-04	-5.701992e-02	5.687622e-02
40.5          	-5.694743e-02	1.133283e-02	-1.437151e-04	-5.701929e-02	5.687557e-02
40.55         	-5.694666e-02	1.133267e-02	-1.437260e-04	-5.701853e-02	5.687480e-02
40.6          	-5.694586e-02	1.133251e-02	-1.437375e-04	-5.701773e-02	5.687399e-02
40.65         	-5.694530e-02	1.133239e-02	-1.437509e-04	-5.701717e-02	5.687342e-02
40.7          	-5.694452e-02	1.133223e-02	-1.437644e-04	-5.701640e-02	5.687264e-02
40.75         	-5.694393e-02	1.133211e-02	-1.437751e-04	-5.701582e-02	5.687204e-02
40.8          	-5.694318e-02	1.133195e-02	-1.437885e-04	-5.701508e-02	5.687129e-02
40.85         	-5.694252e-02	1.133181e-02	-1.438015e-04	-5.701442e-02	5.687062e-02
40.9          	-5.694172e-02	1.133165e-02	-1.438164e-04	-5.701362e-02	5.686981e-02
40.95         	-5.694104e-02	1.133150e-02	-1.438294e-04	-5.701295e-02	5.686912e-02
41            	-5.694036e-02	1.133137e-02	-1.438327e-04	-5.701228e-02	5.686845e-02
41.05         	-5.693974e-02	1.133124e-02	-1.438553e-04	-5.701167e-02	5.686782e-02
41.1          	-5.693907e-02	1.133110e-02	-1.438682e-04	-5.701101e-02	5.686714e-02
41.15         	-5.693849e-02	1.133098e-02	-1.438747e-04	-5.701043e-02	5.686656e-02
41.2          	-5.693774e-02	1.133082e-02	-1.438985e-04	-5.700969e-02	5.686579e-02
41.25         	-5.693708e-02	1.133069e-02	-1.438966e-04	-5.700903e-02	5.686513e-02
